YES/NO,Deutsch,English / SK,Comment,LEGEND
,,,,
,,,,
,,,,
,,,,
,,,,
,einschränken ,restrict,Die EU Bürokratie schränkt nationale Interessen den Mitgliedstaaten ein.,
,einsetzen ,insert,,
,fördern <> fordern ,promote <> demand ,,
,fördern / unterstützen ,promote / support ,,
,einfahren etw,introduce; zaviesť ,Die Mitgliedstaaten fahren der Euro ein.,
,e Gemeinschaft,spoločenstvo,,
,r Zusammenschluss / Vereinigung,"union, treaty ",,
,r Mitgliedstaat (en),member state,,
,wichtig meine Meinung äußern,important to express my opinion,,
,schätzen ,appreciate; oceňovať ,,
,mitbestimmen ,have a say; mať slovo,,
,e Wahl / e Demokratie ,,,
,nachhaltige Materialen wie Hanf,sustainable materials such as hemp,,
,s Kunstleder,koženka,,
,r Polyester is ein künstlicher Stoff,Polyester je syntetický materiál ,,
,atmungsaktive Sportkleidung,breathable sportswear,,
,e Mütze,beanie; čiapka,,
,r Stoff,látka; fabric,,
,verschiedene Kleidungsstile,different clothing styles ,,
,stilvolle Kleidung,stylish clothing ,,
,kariert <> gestreift,kockovaný <> prúžkovaný,,
,gewagt; gewagte Outfits,daring; daring Outfits,,
,lässig ,casual,,
,günstigeren Marken,cenovo dostupnejšie značky,,
,aus der Mode,out of fashion,,
,"es ist wichtig, meine Indiviualität auszudrücken",It's important for me to express my individuality,,
,ausdrücken,express,,
,Mode / Kleidung / Modetrends,Fashion / Clothing / Fashiontrends,,
,die Übersicht verlieren,stratiť prehľad ,,
,die Kontrolle behalten,udržať kontrolu,,
,verlockend,tempting; lákavý ,,
,Ausgaben,expenses; výdaje,,
,Opfer von Kreditkarten-Betrug,Obeť podvodu kreditnej karty ,,
,ausgeben,"spend / minúť, urobiť výdaj",,
,Barzahlung / Bargeld,hotovosť,,
,umtauschen ,vymeniť; to exchange/swap,,
,anprobieren ,to try on,,
,sich beraten lassen ,to get advice; nechať si poradiť ,Beim Onlineshopping kann ich mich nicht beraten lassen kann ,
,der Kundenservice war hilfreich ,Customer Service was helpful,,
,die Qualität zu beurteilen ,posúdiť kvalitu,,
,Öffnungszeiten,otváracie hodiny ,,
,Lieferung,doručenie,,
,Bewertung,hodnotenie; review,,
,Auswahl,výber; selection,,
,Abgase,výfukové plyny ,,
,einladen <> aufladen,pozvať <> nabiť,,
,aufladen,to charge / nabiť,,
,anstelle von,instead of,,
,eine Meinung äußern,to express opinion,,
,Meinungsfreiheit / Pressefreiheit,sloboda prejavu / tlače,,
,Meine Meinung nach ist…,"In my opinion, …",,
,empfehlen ,recommend; odporučiť ,,
,Lärm,nikde; hluk,,
,berichten,to report,,
,erfahren,learn/experience,,
,beurteilen,posúdiť ,,
,verurteilen,condemn; odsúdiť ,,
,verursachen,cause; zapríčiniť ,,
,fragen nach,ask for,,
,wegen,kvôli,,
,enthalten,contain,,
,erhalten / bekommen,receive,,
,fordern und fördern,challenge and promote/support,,
,ausgehen von / vermuten,assume,,
,Einingung / Vereinbarung,"agreement, settlement",,
,drohen / warnen,threat / warn,,
,asschaffen,remove,,
,im Vergleich zu,in comparison to,,
,r Umsatz,"revenue, turnover",,
,r Gewinn,"profit, earnings",,
,beeinflussen,"influence, affect",,
